source_document,page_number,content_type,content
doc.md,15,Q&A,"Q: สามารถดูรายชื่อหน่วยบริการที่ให้บริการ ล้างไตผ่านทางช่องท้องฟอกเลือดด้วยเครื่องไตเทียมและปลูกถ่ายไต จากช่องทางไหน | A: ติดต่อผ่านสายด่วน สปสช.1330 หรือสิงก์เพื่อดูศึกษาภาพการบริการ [https://reghosp.nhso.go.th/hospital_search/index.html](https://reghosp.nhso.go.th/hospital_search/index.html)"
doc.md,16,Header 1,สิทธิประโยชน์
doc.md,16,Header 2,"HIV และ AIDS"
doc.md,16,Bulleted List,หากต้องการตรวจเลือดเนื่องจากมีความเสี่ยงต่อการติดเชื้อเอชไอวี ต้องติดต่อกับที่ไหน
doc.md,16,Header 3,A
doc.md,16,Bulleted List,"ติดต่อ SW.ตามสิทธิหรือหน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติได้ทุกแห่ง สิทธิประโยชน์ดังกล่าวครอบคลุมการให้คำปรึกษาและตรวจหาการติดเชื้อเอชไอวีโดยสมัครใจ ไม่เกิน 2 ครั้งต่อปีงบประมาณร่วมกับเจ้าถุงยางอนามัย"
doc.md,16,Header 2,เอกสารประกอบใบสมัครงาน
doc.md,16,Bulleted List,ระบุให้แน่นผลการตรวจเลือดเพื่อหาเชื้อเอชไอวร่วมด้วยกรณีนี้จะใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่
doc.md,16,Header 3,A
doc.md,16,Bulleted List,"ไม่ได้เนื่องจากการตรวจหาการติดเชื้อเพื่อนำผลไปประกอบการทำธุรกรรมต่างๆอาทิ สมัครเข้าทำงาน สมัครเข้ารับการศึกษา การบวชพระ ตรวจเลือดเพื่อทำประกันชีวิต สิทธิหลักประกันสุขภาพแห่งชาติไม่ได้คุ้มครองกรณีนี้"
doc.md,16,Header 2,ยา PreP คือยาอะไร ใช้สิทธิได้หรือไม่
doc.md,16,Bulleted List,"ยา PreP (เฟร็พ) (Pre-Exposure Prophylaxis : PreP) คือยาที่ใช้ป้องกันการติดเชื้อเอชไอวิก่อนการสัมผัสเชื้อ จะจ่ายให้กับผู้มีสิทธิหลักประกันสุขภาพแห่งชาติที่มีความเสี่ยง"
doc.md,16,Header 2,"ยา PEP (เป๊ป) แตกต่างจากยา PreP (เฟร็พ) อย่างไร"
doc.md,16,Bulleted List,"ยา PEP (เป๊ป) (Post-Exposure Prophylaxis : PEP) คือยาที่ใช้ป้องกันการติดเชื้อเอชไอวีหลังการสัมผัสเชื้อ จะจ่ายให้กับผู้มีสิทธิหลักประกันสุขภาพแห่งชาติที่มีความเสี่ยง"
doc.md,17,Header 1,สิทธิประโยชน์
doc.md,17,Header 2,"ผู้ติดเชื้อเอชไอวี และผู้ป่วยเอดส์"
doc.md,17,Text,"Q&A ติดต่อรับถุงยางอนามัย ได้ที่ไหน"
doc.md,17,Text,"สำหรับผู้มีสิทธิหลักประกันสุขภาพแห่งชาติ ติดต่อขอรับถุงยางอนามัยได้ฟรี ไม่มีค่าใช้จ่าย ผ่านช่องทาง ดังนี้"
doc.md,17,Text,"1. ติดต่อหน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติที่ร่วมจัดบริการ เช่น รพศ., รพท., รพช."
doc.md,17,Bulleted List,"รพ.มหาวิทยาลัย ศูนย์บริการสาธารณสุข ร้านยา คลินิกเวชกรรม คลินิกชุมชนอบอุ่น เป็นต้น"
doc.md,17,Text,"2. จองผ่านแอปเป้าตั้ง เลือกหน่วยบริการที่สะดวกเดินทางไปรับ"
doc.md,17,Text,"กึ่งนี้ผู้รับบริการควรตรวจสอบสถานะหรือนัดหมายล่วงหน้ากับหน่วยบริการก่อนเข้ารับบริการทุกครั้ง"
doc.md,17,Text,"3. ผ่านตู้กดอัตโนมัติ ปัจจุบันนำร่องติดตั้ง 2 จุดบริการในพื้นที่เมืองพัทยา จ.ชลบุรี คือ"
doc.md,17,Bulleted List,อารมณ์ราเรื่องแหลมบาลีฮาย และ รพ.เมืองพัทยา
doc.md,17,Header 2,"การตรวจคัดกรองและตรวจยืนยันไวรัสตับอักเสบซี (HCV)"
doc.md,17,Bulleted List,ในผู้ติดเชื้อเอชไอวี ใช้สิทธิหลักประกันสุขภาพแห่งชาติ ได้หรือไม่
doc.md,17,Text,"ใช้สิทธิได้ โดยสิทธิประโยชน์ดังกล่าว ครอบคลุมกลุ่มเป้าหมายที่ติดเชื้อเอชไอวี และผู้ติดสารเสพติดด้วยวิธีการฉีด สามารถขอรับการตรวจได้ที่ รพ.ตามสิทธิ หรือหน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติได้ทุกแห่ง"
doc.md,17,Header 2,"แพทย์สั่งตรวจ CD4 ให้เตรียมเงินค่าตรวจ ประมาณ 600 บาท"
doc.md,17,Bulleted List,จะใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่
doc.md,17,Text,"ได้ การตรวจ CD4 คือ"
doc.md,17,Bulleted List,"การตรวจหาจำนวนเม็ดเลือดขาวเพื่อประเมินความแข็งแรงของระบบภูมิคุ้มกันของร่างกาย โดยเฉพาะผู้ที่มีเชื้อเอชไอวียู่ในร่างกาย และยังตรวจเพื่อประเมินการตอบสนองต่อการรักษาด้วยยาต้านไวรัสอีกด้วย แนะนำเข้ารับบริการ รพ.ตามสิทธิ หรือหน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติได้ทุกแห่ง"
doc.md,17,Header 2,"รับยาต้านไวรัสกับ รพ. ที่รักษาประจำอยู่ต่างจังหวัด"
doc.md,17,Bulleted List,"ตอนนี้เดินทางมาธุระ กทม. ยากหมาก จะไปขอรับยาต้านไวรัส กับ รพ. ใน กทม. ได้หรือไม่"
doc.md,17,Text,"ได้ แนะนำเข้ารับบริการหน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ ที่มีศักยภาพในการจ่ายยาต้านไวรัสได้ทุกแห่ง โดยแจ้ง รพ.ที่เคยรับยาต้านไวรัสก่อนหน้าร่วมด้วย เพื่อการบริหารจัดการยาระหว่าง 2 รพ. ทั้งนี้ควรโทรสอบถามหรือนัดหมายล่วงหน้าก่อนเข้ารับบริการ"
doc.md,18,Header 1,สิทธิประโยชน์
doc.md,18,Header 2,การฝากครรภ์และคลอดบุตร
doc.md,18,Q&A,"Q: Q&A ประจำเดือนขาด 2 เดือน สงสัยว่าตั้งครรภ์ ใช้สิทธิหลักประกันสุขภาพแห่งชาติในการตรวจการตั้งครรภ์ได้หรือไม่ | A: ได้ โดยแพทย์จะชักประวัติเพิ่มเติมและตรวจอัสสมาระเพื่อยืนยันการตั้งครรภ์"
doc.md,18,Q&A,"Q: Q&A ฝากครรภ์ จำกัดจำนวนครั้งหรือไม่ ต้องทำอย่างไร | A: ไม่จำกัดจำนวนครั้ง สามารถติดต่อเข้ารับการฝากครรภ์ได้ที่หน่วยบริการตามสิทธิหรือหน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติได้ทุกแห่ง"
doc.md,18,Q&A,"Q: Q&A ตั้งครรภ์ได้ 6 เดือน ต้องการตรวจอัลตราซาวด์ เพื่อดูพื้นที่ของเด็กในท้อง ใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่ | A: ไม่ได้ จะใช้สิทธิได้กรณีมีข้อบกพร่องทางการแพทย์ เช่น ตรวจเพื่อยืนยันอายุครรภ์ จำนวนทารก และสัญญาณชีพของการงาน เป็นต้น"
doc.md,18,Q&A,"Q: Q&A การเจาะนำครรภ์ในหญิงตั้งครรภ์ ใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่ | A: ใช้สิทธิได้ หากเป็นการเจาะตามข้อบกพร่องทางการแพทย์ เช่น เพื่อวินิจฉัยโรคดาวน์ซินโดรม โรคลิหิตจากธาตุสีซีเมีย"
doc.md,18,Q&A,"Q: Q&A มารดา มีสิทธิประกันสังคม รพ.รัฐ บุตรคลอดออกมาต้องเข้าตู้อบ บุตรสามารถใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่ | A: ได้ หากบิดาไม่มีสิทธิสวัสดิการใดๆ ด้านการรักษาพยาบาลให้กับบุตร"
doc.md,19,Header 1,สิทธิประโยชน์
doc.md,19,Header 2,การฝากครรภ์และคลอดบุตร
doc.md,19,Bulleted List,Q&A
doc.md,19,Header 3,"Q:"
doc.md,19,Bulleted List,สามีมีสิทธิประกันสังคม กรณยามีสิทธิหลักประกันสุขภาพแห่งชาติ กรณยาจะใช้สิทธิฝากครรภ์และคลอดบุตรที่ รพ.ตามสิทธิได้หรือไม่
doc.md,19,Header 3,"A:"
doc.md,19,Bulleted List,"เนื่องจากกรณยาเป็นผู้มีสิทธิหลักประกันสุขภาพแห่งชาติ เมื่อจะมารับบริการที่ รพ.ตามสิทธิก็สามารถใช้สิทธิของตนเองได้ สำหรับสามีเนื่องจากเป็นผู้ประกันตน สามีขอรับประโยชน์ทดแทนกรณีคลอดบุตรจากสิทธิประกันสังคมได้ ปัจจุบันเหมาจ่ายในอัตรา 15,000 บาท ไม่จำกัดจำนวนครั้ง"
doc.md,19,Header 3,"Q:"
doc.md,19,Bulleted List,เป็นผู้ประกันตนส่งเงินสมทบไม่ครบ 5 เดือน จะใช้สิทธิหลักประกันสุขภาพแห่งชาติในการฝากครรภ์และคลอดบุตรได้หรือไม่
doc.md,19,Header 3,"A:"
doc.md,19,Bulleted List,"ใช้สิทธิได้ เนื่องจากผู้ประกันตนที่ส่งเงินสมทบไม่ครบ 5 เดือน ยังไม่ได้รับประโยชน์ทดแทนกรณีคลอดบุตรตามกฎหมายประกันสังคม แนะนำติดต่อสำนักงานประกันสังคมเขตพื้นที่เพื่อขอหนังสือรับรองว่าส่งเงินสมทบไม่ครบ 5 เดือน แจ้งขอใช้สิทธิกับหน่วยบริการในระบบของ สปสช. ได้ทุกแห่ง"
doc.md,19,Header 3,"Q:"
doc.md,19,Bulleted List,"มารดาขอให้แพทย์ผ่าคลอดทางหน้าท้อง เนื่องจากกลัวการเจ็บครรภ์ กรณีนี้ใช้สิทธิได้หรือไม่"
doc.md,19,Header 3,"A:"
doc.md,19,Bulleted List,การผ่าคลอดหรือคลอดเองตามธรรมชาติ ขึ้นอยู่กับข้อบ่งชี้ของแพทย์ โดยแพทย์จะประเมินจากภาวะอาการของหญิงตั้งครรภ์ร่วมด้วย
doc.md,19,Header 3,"Q:"
doc.md,19,Bulleted List,"ตั้งครรภ์ 9 เดือน ฝากครรภ์ที่ รพ.ตามสิทธิ ใน กทม. เดินทางมาจากงานศพญาติต่างจังหวัดแล้วเข้าท้องคลอด จะใช้สิทธิหลักประกันสุขภาพแห่งชาติในการคลอดบุตรได้หรือไม่"
doc.md,19,Header 3,"A:"
doc.md,19,Bulleted List,หากเข้ารับบริการในหน่วยบริการที่เข้าร่วมในระบบ สปสช. โดยไม่ต้องกลับไปขอใบส่งตัว เป็นไปตามนโยบายผู้ป่วยในไม่ต้องใช้ใบส่งตัว
doc.md,19,Header 3,"Q:"
doc.md,19,Bulleted List,หลังคลอดแล้วใช้สิทธิหลักประกันสุขภาพแห่งชาติในการทำหมันได้หรือไม่
doc.md,19,Header 3,"A:"
doc.md,19,Bulleted List,เพราะถือเป็นการวางแผนครอบครัว
doc.md,20,Header 1,สิทธิประโยชน์
doc.md,20,Header 2,"ยา เวชภัณฑ์ อวัยวะเทียม และอุปกรณ์ทางการแพทย์"
doc.md,20,Header 3,Q&A
doc.md,20,Bulleted List,สิทธิหลักประกันสุขภาพแห่งชาติ
doc.md,20,Bulleted List,สามารถใช้สิทธิรับยานอกบัญชีได้หรือไม่
doc.md,20,Bulleted List,"สิทธิหลักประกันสุขภาพแห่งชาติ คุ้มครองยาและเวชภัณฑ์ตามกรอบบัญชียาหลักแห่งชาติ ยกเว้นแพทย์พิจารณาเห็นควรต้องจ่ายยานนอกบัญชียาหลักแห่งชาติ เนื่องจากไม่มียาในบัญชียาหลักแห่งชาติตดแทนผู้ป่วยจึงจะสามารถใช้สิทธิได้"
doc.md,20,Bulleted List,"ป่วยเป็นงูสวัด จะขอใช้ยาต้านไวรัส"
doc.md,20,Bulleted List,ซึ่งเป็นยานอกบัญชียาหลักแห่งชาติ ต้องเสียค่าใช้จ่ายหรือไม่
doc.md,20,Bulleted List,"หากแพทย์วินิจฉัยจำเป็นต้องใช้ยาต้านไวรัสในการรักษา ซึ่งไม่มียาในบัญชียาหลักแห่งชาติติดแทน โดยผู้ป่วยไม่ได้ร้องขอสามารถใช้สิทธิหลักประกันสุขภาพแห่งชาติได้"
doc.md,20,Bulleted List,"ผู้ป่วยเป็นโรคมะเร็งลำไส้ใหญ่ ต้องใช้"
doc.md,20,Bulleted List,"กุญแจถ่ายของเสียทางหน้าท้อง (Colostomy bag) ใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่"
doc.md,20,Bulleted List,"ได้เนื่องจากกุญแจถ่ายของเสียทางหน้าท้อง (Colostomy bag) อยู่ในสิทธิประโยชน์เป็นไปตามข้อบังชี้ทางการแพทย์"
doc.md,20,Bulleted List,"ผู้ป่วยโรคเบาหวาน แพทย์สั่งจ่ายยาอินซูลิน"
doc.md,20,Bulleted List,ให้มาฉีดเองที่บ้าน กรุณาต้องรับผิดชอบ ค่าเข็มฉีดอินซูลินหรือไม่
doc.md,20,Bulleted List,"ไม่ต้องเนื่องจากเข็มฉีดยาอินซูลิน เป็นอุปกรณ์ที่จำเป็นต่อการรักษาพยาบาล ใช้สิทธิหลักประกันสุขภาพแห่งชาติได้"
doc.md,21,Header 1,สิทธิประโยชน์
doc.md,21,Header 2,"ยา เวชภัณฑ์ อวัยวะเทียม และอุปกรณ์ทางการแพทย์"
doc.md,21,Text,"ผู้ป่วยติดเตียง ต้องใช้ผ้าอ้อมในการรองรับการขับถ่าย สิทธิหลักประกันสุขภาพแห่งชาติคุ้มครองการเบิกจ่าย ผ้าอ้อม หรือแผ่นรองซับการขับถ่ายหรือไม่ ใช้สิทธิอย่างไร"
doc.md,21,Header 3,Q&A
doc.md,21,Bulleted List,"ผ้าอ้อมหรือแผ่นรองซับอยู่ในความคุ้มครอง โดยจะเบิกจ่ายให้ในกลุ่มเป้าหมายที่เป็นผู้ป่วยติดบ้าน ติดเตียง หรือผู้ที่มีปัญหาเกล้าอุจจาระ ปัสสาวะไม่ได้ สามารถแจ้งความประสงค์ขอรับได้ที่หน่วยบริการตามสิทธิ"
doc.md,21,Header 3,"บุตรเรียนชั้น ป.3 แพทย์ตรวจพบสายตาสั้น มีอุปสรรคต่อการเรียน กรุณาขอใช้สิทธิหลักประกันสุขภาพแห่งชาติรับแว่นตาได้หรือไม่"
doc.md,21,Bulleted List,สามารถใช้สิทธิได้ โดยสิทธิประโยชน์ดังกล่าวเน้นกลุ่มเป้าหมาย ดังนี้
doc.md,21,Bulleted List,เน้นเด็ก ป.1 ทุกคน
doc.md,21,Bulleted List,"เด็กอนุบาล 1-3 และ ป.2-6"
doc.md,21,Text,"โดยครูหรือผู้ปกครองที่พบความผิดปกติของสายตาเด็ก สามารถนำเด็กเข้ารับการตรวจ ยังหน่วยบริการตามสิทธิ หากจักษุแพทย์ประเมินพบความผิดปกติเห็นควรสั่งตัดแว่น จะใช้สิทธิได้ โดยจะได้รับแว่นสายตา 1 อัน/คน/ปี"
doc.md,21,Header 3,"1 ปีที่ผ่านมาผู้ป่วยประสบอุบัติเหตุทางรางรถ"
doc.md,21,Bulleted List,"เดินข้ามถนนถูกชนขาขาด แพทย์ตัดขาทั้งสองข้าง มีสมุดคนพิการร่วมด้วย จะใช้สิทธิหลักประกันสุขภาพแห่งชาติ ในการรับรถเข็นสำหรับคนพิการได้หรือไม่"
doc.md,21,Bulleted List,"ได้ เนื่องจากอยู่ในความคุ้มครอง ติดต่อขอรับรถเข็นคนพิการได้ที่ รพ.ตามสิทธิ หรือหน่วยบริการของรัฐได้ทุกแห่ง"
doc.md,22,Header 1,สิทธิประโยชน์
doc.md,22,Header 2,"ยา เวชภัณฑ์ อวัยวะเทียม และอุปกรณ์ทางการแพทย์"
doc.md,22,Header 3,Q&A
doc.md,22,Q&A,"Q: แพทย์ตรวจพบว่ามีความผิดปกติตามการได้ยิน แนะนำให้ใช้เครื่องช่วยฟัง ต้องการทราบว่าใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่ และติดต่อขอรับอุปกรณ์ที่ไหน | A: ใช้สิทธิได้ หากมีเอกสารหรือสมุดรับรองความพิการ โดยติดต่อขอรับได้ที่ รพ.ตามสิทธิ หรือหน่วยบริการที่ขึ้นทะเบียนเบิกจ่ายเครื่องช่วยฟัง สอบถามรายชื่อหน่วยบริการได้จากสายด่วน สปสช.1330"
doc.md,22,Q&A,"Q: ผู้ป่วยอายุมากแล้ว เป็นโรคหูบหืดและมีปัญหาระบบทางเดินหายใจ ต้องใช้ออกซิเจนเพื่อการบำบัดอาการป่วยที่บ้าน ใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่ | A: ใช้สิทธิได้ โดยนำถังออกซิเจนมาเติมที่ รพ.ตามสิทธิ"
doc.md,22,Q&A,"Q: ผู้ป่วยได้รับอุบัติเหตุตกบันได ต้องใช้เสื้อเกราะพยุงหลัง ผู้ป่วยต้องเสียค่าเสื้อเกราะเองหรือไม่ | A: ไม่ต้อง หากแพทย์มีข้อบ่งชี้ว่าเป็นต้องใช้"
doc.md,22,Q&A,"Q: มีอาการออฟฟิศซินโดรม (Office Syndrome) ต้องการฝังเข็มคลายเส้น และอาการปวด ใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่ | A: ใช้สิทธิได้ หากแพทย์พิจารณาแนวทางรักษาด้วยวิธีใดกล่าว"
doc.md,22,Q&A,"Q: ยาฟาวิพิราเวียร์ (Favipiravir) และยาโมลนูพิราเวียร์ (Molnupiravir) ที่จะให้กับผู้ป่วยโควิด อยู่ในสิทธิหลักประกันสุขภาพแห่งชาติหรือไม่ | A: อยู่ในสิทธิ โดยแพทย์จะเป็นผู้พิจารณาจ่ายให้ตามความจำเป็นสำหรับผู้ป่วยบางราย"
doc.md,23,Header 1,การใช้สิทธิกรณีอุบัติเหตุเจ็บป่วยฉุกเฉิน
doc.md,23,Header 2,Q&A
doc.md,23,Q&A,"Q: กรณีอุบัติเหตุ เจ็บป่วยฉุกเฉิน ใช้สิทธิอย่างไร | A: ใช้สิทธิเข้ารับบริการใน rw. ของรัฐหรือเอกชนที่อยู่ในระบบหลักประกันสุขภาพแห่งชาติได้ทุกแห่งที่ใกล้ที่สุด โดยแจ้งใช้สิทธิพร้อมแสดงบัตรประจำตัวประชาชน หากเป็นเด็กอายุต่ำกว่า 15 ปี ใช้สูติบัตร หรือน้ำประจำตัวประชาชนเด็ก"
doc.md,23,Q&A,"Q: มีสิทธิหลักประกันสุขภาพแห่งชาติใน กทม. ไปเยี่ยมญาติที่ต่างจังหวัด แล้วถูกสุนักกัด จะใช้สิทธิหลักประกันสุขภาพแห่งชาติในการทำแผล และฉีดวัคซีนป้องกันโรคพิษสุนักบ้าได้หรือไม่ | A: ได้เนื่องจากกรณีดังกล่าวเป็นอุบัติเหตุ การทำแผลและการฉีดวัคซีนป้องกันโรคพิษสุนักบ้า ผู้ป่วยสามารถรับบริการได้จนครบตามกำหนดของการรับวัคซีนนั้น (เฉพาะกรณีที่ไม่สามารถเดินทางกลับไปรับวัคซีนเข็มถัดไปที่ rw.ตามสิทธิได้)"
doc.md,23,Q&A,"Q: กินยาอนหลับจำนวนมากห่วงช่วยตัวตาย แต่ทำไมสำเร็จญาติมาพบแล้วรับนำส่ง rw.เพื่อล้างท้องกรณีนี้ใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่ | A: ใช้สิทธิได้ สามารถเข้ารับบริการหน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติได้ทุกแห่ง"
doc.md,23,Q&A,"Q: ถูกคู่กรณีทำรายร่างกาย ใช้มือดึงแรงเว้นหน้าท้องพลเมืองดีนำส่ง rw.รัฐ ต้องผ่านตัดช่องท้อง หลังออกจาก rw.แพทย์นัดทำแผลทุกวัน กรณีนี้จะใช้สิทธิหลักประกันสุขภาพแห่งชาติกรณีฉุกเฉินต่อเนื่องกับ rw. ที่รับรักษาได้หรือไม่ | A: กรณีนี้จะใช้สิทธิฉุกเฉินทำแผลต่อเนื่องได้ไม่เกิน 15 วัน ในกรณีที่ผู้ป่วยยังไม่สามารถกลับไปรับบริการที่ rw.ตามสิทธิได้"
doc.md,24,Header 1,การใช้สิทธิกรณีฉุกเฉิน
doc.md,24,Header 2,อุบัติเหตุ
doc.md,24,Bulleted List,"เจ็บป่วยฉุกเฉิน"
doc.md,24,Header 2,"สิทธิ UCEP คืออะไร"
doc.md,24,Text,"(Universal Coverage for Emergency Patients)"
doc.md,24,Bulleted List,"สิทธิการรักษาตามนโยบายรัฐ เพื่อคุ้มครองผู้ป่วยฉุกเฉินวิกฤต"
doc.md,24,Bulleted List,"ให้สามารถเข้ารับการรักษาในรพ.ทุกแห่งที่ใกล้ที่สุดได้ โดยไม่ต้องเสียค่าใช้จ่ายจนพ้นวิกฤตและสามารถคลื่นย้ายได้อย่างปลอดภัย แต่ไม่เกิน 72 ชั่วโมง"
doc.md,24,Header 2,"อาการอย่างไร ที่เข้าข่ายกรณีฉุกเฉินวิกฤต"
doc.md,24,Bulleted List,"อาการฉุกเฉินวิกฤต ตามเกณฑ์ที่สถาบันการแพทย์ฉุกเฉินแห่งชาติ (สพฉ.)กำหนดดังนี้"
doc.md,24,Bulleted List,"1. หมดสติ ไม่รู้สึกตัว ไม่หายใจ"
doc.md,24,Bulleted List,"2. หายใจเร็ว หอบเหนื่อยรุนแรง หายใจติดขัดมีเสียงดัง"
doc.md,24,Bulleted List,"3. ซึมลง เหนื่อยล้า ตัวเย็น หรือมีอาการชักร่วม"
doc.md,24,Bulleted List,"4. เจ็บหน้าอกเดือดร้อนรุนแรง"
doc.md,24,Bulleted List,"5. แขนขาอ่อนแรงครึ่งซีก พูดไม่ชัดแบบปัจจุบันทันด่วน หรือชักต่อเนื่องไม่หยุด"
doc.md,24,Bulleted List,"6. หรือมีอาการอื่นๆ ที่มีผลต่อการหายใจ ระบบไหลเวียนโลหิต และระบบสมองที่อาจเป็นอันตรายต่อชีวิต"
doc.md,24,Header 2,"กรณีผู้ป่วยพื้นที่วิกฤตหรือเกิน 72 ชั่วโมงแล้ว จะมีการดำเนินการเรื่องการรับ-ส่งต่อผู้ป่วย หรือมีมาตรการใดที่ช่วยหา rพ. รับส่งต่อหรือไม่"
doc.md,24,Bulleted List,"สิทธิหลักประกันสุขภาพแห่งชาติ ติดต่อผ่านสายด่วน สปสช. 1330"
doc.md,24,Bulleted List,"สิทธิสวัสดิการรักษาพยาบาลข้าราชการ โดยกระทรวงสาธารณสุขทำหน้าที่ในการจัดระบบและดำเนินการในเรื่องการรับ-ส่งต่อโดย สพฉ. เป็นผู้ประสานงานร่วมกับ rพ.ราชวิถี ติดต่อ 02-2062910"
doc.md,24,Bulleted List,"สิทธิประกันสังคม ประสานผ่าน rพ.ตามสิทธิประกันสังคมของผู้ป่วย หรือติดต่อสายด่วน 1506"
doc.md,25,Header 1,การใช้สิทธิกรณีอุบัติเหตุ
doc.md,25,Header 2,เจ็บป่วยฉุกเฉิน
doc.md,25,Bulleted List,หากมีข้อสงสัยหรือข้อโต๊ะแย้งเรื่องอาการของผู้ป่วยฉุกเฉินวิกฤตสามารถติดต่อสอบถามข้อมูลร้องเรียนอุทธรณ์เกี่ยวกับการประเมินภาวะฉุกเฉินวิกฤตได้ที่ไหน
doc.md,25,Header 2,ข้อมูลติดต่อ
doc.md,25,Text,"1. กรณีพบอาการอุทธรณ์สามารถติดต่อศูนย์ประสานงานคุมครองสิทธิผู้ป่วยฉุกเฉินวิกฤต สถาบันการแพทย์ฉุกเฉินแห่งชาติ (ศคส.สพด.) ได้ที่"
doc.md,25,Bulleted List,"โทรศัพท์หมายเลข 02-8721669"
doc.md,25,Bulleted List,"E-mail 1669@niems.go.th"
doc.md,25,Bulleted List,"จดหมายส่งถึงศูนย์ประสานงานคุมครองสิทธิผู้ป่วยฉุกเฉินวิกฤต สถาบันการแพทย์ฉุกเฉินแห่งชาติ เลขที่ 88/40 หมู่ 4 สารารณสุขซอย 6 (ภายในกระทรวงสาธารณสุข) ถนนติวานนท์ ตำบลตลาดขวัญ อำเภอเมือง จังหวัดนนทบุรี 11000"
doc.md,25,Text,"2. กรณีถูกเรียกเก็บเงินค่ารักษาพยาบาล ติดต่อกรมสนับสนุนบริการสุขภาพ (สบส.) โทรศัพท์หมายเลข 02-1937057 หรือสายด่วน 1426 ในวันและเวลาราชการ"
doc.md,25,Header 2,คำถาม
doc.md,25,Bulleted List,หากเกิดอุบัติเหตุจากรถจะใช้สิทธิหลักประกันสุขภาพแห่งชาติได้หรือไม่
doc.md,25,Header 2,คำตอบ
doc.md,25,Bulleted List,"ต้องใช้สิทธิตาม พ.ร.บ.คุ้มครองผู้ประสบภัยจากรถหมดก่อน ส่วนเกินจึงจะใช้สิทธิหลักประกันสุขภาพแห่งชาติได้"
doc.md,25,Header 2,ถาม
doc.md,25,Bulleted List,"ต้องใช้สิทธิตาม พ.ร.บ.คุ้มครองผู้ประสบภัยจากรถในวงเงินเท่าไร ถึงจะใช้สิทธิหลักประกันสุขภาพแห่งชาติต่อได้"
doc.md,25,Header 2,ตอบ
doc.md,25,Bulleted List,"คำเสียหายเบื้องต้นตาม พ.ร.บ.คุ้มครองผู้ประสบภัยจากรถ กำหนดให้ผู้ขับขี่ 30,000 บาท ผู้โดยสารหรือบุคคลภายนอกได้รับความคุ้มครองอยู่ที่ 80,000 บาท"
doc.md,26,Header 1,การใช้สิทธิกรณีอุบัติเหตุเจ็บป่วยฉุกเฉิน
doc.md,26,Header 2,Q&A
doc.md,26,Q&A,"Q: ขับรถจักรยานยนต์ข้ามสะพานมิตรภาพไทย-ลาว เพื่อไปซื้อของฝั่งประเทศเพื่อนบ้าน รถเกิดเฉี่ยวชนสุนักแล้วล้มคว่ำ ทำให้ขาหักและมีแผลพุพองจากการโดนท่อไอเสีย กรณีนี้จะได้สิทธิรักษาจาก พ.ร.บ.คุ้มครองผู้ประสบภัยจากรถหรือไม่ | A: ไม่ได้ เนื่องจาก พ.ร.บ.ดังกล่าวคุ้มครองอุบัติเหตุจากรถที่เกิดในราชอาณาจักรไทยเท่านั้น"
doc.md,26,Q&A,"Q: นั่งช้อนท้ายรถจักรยานยนต์ ชนกับฟุตบาทล้ม แต่รถไม่มี พ.ร.บ. จะใช้สิทธิหลักประกันสุขภาพแห่งชาติในการรักษาได้หรือไม่ | A: ไม่ได้ ทั้งผู้ขับขี่และผู้โดยสาร ต้องเบิกค่ารักษาจากกองทุนทดแทน ผู้ประสบภัยจากรถก่อน ส่วนเกินจึงจะใช้สิทธิหลักประกันสุขภาพแห่งชาติได้"
doc.md,26,Q&A,"Q: ข้ามถนนใต้สะพานลอยแล้วถูกรถชน ไปเบิกค่ารักษาพยาบาล จากบริษัทที่รับทำประกันภัย แต่ถูกปฏิเสธการจ่าย อ้างว่าผู้ป่วยเป็นฝ่ายผิด กรณีนี้จะใช้สิทธิหลักประกันสุขภาพแห่งชาติรักษาตั้งแต่แรกได้หรือไม่ | A: ไม่ได้ ผู้ป่วยต้องใช้สิทธิตาม พ.ร.บ.คุ้มครองผู้ประสบภัยจากรถในวงเงินคุ้มครองความเสียหายเบื้องต้นก่อน หากรถที่ชนมีประกันภัยรถยนต์ภาคสมัครใจร่วมด้วย ส่วนที่เกินจากความรับผิดชอบของ พ.ร.บ.คุ้มครองผู้ประสบภัยจากรถ และบริษัทประกันภัย จึงจะใช้สิทธิหลักประกันสุขภาพแห่งชาติได้"
