source_document,page_number,content_type,content
doc2.md,20,Text,"หน่วยบริการปฐมภูมิ หมายถึง หน่วยบริการที่ขึ้นทะเบียนเป็นหน่วยบริการ ปฐมภูมิในเครือข่ายของหน่วยบริการประจำ และรับค่าใช้จ่ายเพื่อบริการสาธารณสุข จากหน่วยบริการประจำ หรือค่าใช้จ่ายอื่นตามที่คณะกรรมการหลักประกันสุขภาพ แห่งชาติกำหนด โดยมีคุณลักษณะ ดังนี้"
doc2.md,20,Bulleted List,"1. จัดบริการสาธารณสุขระดับปฐมภูมิได้อย่างเป็นองค์รวม ทั้งการสร้างเสริม สุขภาพ การป้องกันโรค การตรวจวินิจฉัยโรค การรักษาพยาบาล และ การฟื้นฟูสมรรถภาพ"
doc2.md,20,Bulleted List,"2. ผู้มีสิทธิหลักประกันสุขภาพแห่งชาติ สามารถใช้บริการสาธารณสุข ในหน่วยบริการปฐมภูมิที่เป็นเครือข่ายของหน่วยบริการประจำที่เลือก (ต้นสังกัดของหน่วยบริการปฐมภูมิ) โดยไม่เสียค่าใช้จ่ายได้ตามสิทธิ ที่กำหนด"
doc2.md,20,Text,"หน่วยบริการรับส่งต่อ หมายถึง หน่วยบริการที่ขึ้นทะเบียนเป็นหน่วยบริการ รับการส่งต่อทั่วไปหรือหน่วยบริการที่รับการส่งต่อเฉพาะด้าน ซึ่งสามารถจัด บริการสาธารณสุขระดับทุติยภูมิ ตติยภูมิ หรือเฉพาะทาง โดยผู้มีสิทธิหลักประกัน สุขภาพสามารถใช้บริการสาธารณสุข ณ หน่วยบริการรับส่งต่อได้ เมื่อได้รับการ ส่งต่อหรือได้รับความเห็นชอบจากหน่วยบริการประจำ หรือตามที่ สปสช.กำหนด ทั้งนี้ หน่วยบริการที่รับส่งต่อมีสิทธิได้รับค่าใช้จ่ายเพื่อบริการสาธารณสุขจาก หน่วยบริการประจำหรือกองทุน ตามที่คณะกรรมการหลักประกันสุขภาพ แห่งชาติกำหนด"
doc2.md,20,Text,"หน่วยบริการร่วมให้บริการ หมายถึง สถานบริการที่จัดบริการสาธารณสุข ระดับปฐมภูมิเฉพาะด้านตามเกณฑ์ที่ สปสช.กำหนด และได้ขึ้นทะเบียนเป็น หน่วยบริการร่วมให้บริการ โดยมีข้อตกลงเป็นหนังสือกับหน่วยบริการประจำหรือ สำนักงานในการให้บริการสาธารณสุขแก่ผู้มีสิทธิ ทั้งนี้ หน่วยบริการร่วมให้บริการ มีสิทธิได้รับค่าใช้จ่าย เพื่อบริการสาธารณสุขจากหน่วยบริการประจำหรือจาก กองทุน ตามที่คณะกรรมการหลักประกันสุขภาพแห่งชาติกำหนด"
"doc2.md","21","heading","การลงทะเบียนเลือกหน่วยบริการประจำ"
"doc2.md","21","paragraph","เพื่อให้ประชาชนสิทธิหลักประกันสุขภาพแห่งชาติมีหน่วยบริการประจำ (ข้อมูลเพิ่มเติมหน้า 18) สปสช.จัดระบบลงทะเบียนสิทธิหลักประกันสุขภาพแห่งชาติของประชาชน ดังนี้"
"doc2.md","21","heading","การลงทะเบียนรายบุคคล แยกเป็น 2 กรณี"
"doc2.md","21","heading","1.1 กรนียืนแบบคำร้องด้วยตนเอง ของผู้มีสิทธิที่ยังไม่ได้รับการลงทะเบียน (สิทธิว่าง) และผู้มีสิทธิขอเปลี่ยนหน่วยบริการประจำ"
"doc2.md","21","heading","1.2 กรนีหน่วยบริการลงทะเบียนให้ผู้มีสิทธิเข้ารับการรักษาพยาบาลครั้งแรก"
"doc2.md","21","paragraph","**หมายเหตุ**: บุคคลที่มีสิทธิยินคำขอลงทะเบียนเลือกหน่วยบริการประจำ ต้องมีอายุ 15 ปีบริบูรณ์ขึ้นไป กรนีอายุต่ำกว่า 15 ปีบริบูรณ์ จะต้องได้รับความยินยอมจากผู้ปกครอง"
"doc2.md","21","heading","การลงทะเบียนแทนผู้มีสิทธิตามมติคณะกรรมการหลักประกันสุขภาพแห่งชาติ ได้แก่"
"doc2.md","21","list","- กรนีเด็กแรกเกิด 0-5 ปี"
"doc2.md","21","list","- กรนีบุคคลสิ้นสุดสิทธิสวัสดิการรักษาพยาบาลข้าราชการ/รัฐวิสาหกิจหรือสิ้นสุดสิทธิประกันสังคม หรือสิ้นสุดสิทธิประกันสุขภาพอื่นที่รัฐจัดให้"
"doc2.md","21","list","- กรนีหน่วยบริการประจำที่บุคคลได้ลงทะเบียนไว้แล้วถอนตัว หรือพ้นจากการเป็นหน่วยบริการประจำ"
"doc2.md","21","list","- กรนีเปลี่ยนหน่วยบริการประจำสำหรับนักศึกษาที่สำเร็จการศึกษาแล้วแต่ยังไม่ได้เปลี่ยนหน่วยบริการประจำกลับไปยังภูมิลำเนา/ผู้พำนักในราชทัณฑ์ที่พ้นโทษ (ผู้พันโทษต้องข้างในเรือนจำ)/ทหารเกณฑ์ที่ปลดประจำการ"
"doc2.md","22","list","• กรณีบุคคลเข้ารับบริการสาธารณสุขเป็นครั้งแรก และยังไม่ลงทะเบียน เลือกหน่วยบริการประจำ (ฐานข้อมูลในระบบตรวจสอบสิทธิของ สปสช. ไม่แสดงข้อมูลชื่อหน่วยบริการประจำ)"
"doc2.md","22","paragraph","**หมายเหตุ**: บุคคลที่ลงทะเบียนแทน สามารถยื่นคำร้องพร้อมเอกสารลงทะเบียน ขอเปลี่ยนหน่วยบริการประจำได้ โดยติดต่อสถานที่รับลงทะเบียน"
"doc2.md","22","heading","การลงทะเบียนสิทธิคนพิการ ในระบบหลักประกันสุขภาพแห่งชาติ"
"doc2.md","22","paragraph","- คนพิการผู้ใช้สิทธิหลักประกันสุขภาพแห่งชาติต้องไม่ได้ลงทะเบียนสิทธิคนพิการในระบบหลักประกันสุขภาพแห่งชาติ (ท.74) ต้องนำใบรับรองความพิการจากแพทย์ หรือแสดงบัตรคนพิการ ตาม พ.ร.บ. ส่งเสริมและพัฒนาคุณภาพชีวิตคนพิการแห่งชาติ พ.ศ. 2550 ลงทะเบียน ณ สถานที่รับลงทะเบียน เพื่อรับสิทธิฟื้นฟูสมรรถภาพ"
"doc2.md","22","heading","ผู้มีสิทธิหลักประกันสุขภาพแห่งชาติเปลี่ยนหน่วยบริการประจำได้ ไม่เกิน 4 ครั้งต่อปี"
"doc2.md","22","paragraph","- ผู้มีสิทธิที่ได้รับการลงทะเบียนและมีหน่วยบริการประจำแล้ว ประสงค์จะขอเปลี่ยนหน่วยบริการประจำ สามารถยื่นคำร้องขอลงทะเบียนเปลี่ยนหน่วยบริการประจำ ณ หน่วยรับคำร้องลงทะเบียน หรือหน่วยรับลงทะเบียน ตามระบบการลงทะเบียนผู้มีสิทธิหลักประกันสุขภาพแห่งชาติ โดยขอเปลี่ยนหน่วยบริการประจำ ได้ไม่เกิน 4 ครั้งต่อปีโดยประมาณ"
"doc2.md","22","paragraph","**ทั้งนี้ ไม่ควรเปลี่ยนหน่วยบริการระหว่างรับบริการรักษาผู้ป่วยใน (Admit) โดยให้หน่วยบริการยึดถือสิทธิ ณ วันที่เข้ารับบริการจนสิ้นสุดการรักษาในหน่วยบริการ (Discharge) ครั้งนั้น"
"doc2.md","23","paragraph","การนับครั้งของการเปลี่ยนหน่วยบริการประจำ (4 ครั้งต่อปีงบประมาณ) ไม่นับรวมครั้งแรกของการลงทะเบียนเลือกหน่วยบริการประจำ เช่น"
"doc2.md","23","list","- การลงทะเบียนแทนตามมติคณะกรรมการหลักประกันสุขภาพแห่งชาติ"
"doc2.md","23","list","- การลงทะเบียนเปลี่ยนหน่วยบริการประจำอันเนื่องมาจากการจัดแบ่งพื้นที่ในการดูแลประชากรใหม่ ตามมติของคณะอนุกรรมการหลักประกันสุขภาพแห่งชาติระดับเขต (อปสช.)"
"doc2.md","23","list","- การลงทะเบียนเปลี่ยนหน่วยบริการประจำอันเนื่องมาจากมีหน่วยบริการเข้าใหม่ หรือหน่วยบริการลาออกจาโครงการ"
"doc2.md","23","list","- การลงทะเบียนเปลี่ยนหน่วยบริการประจำตามโครงการโรงพยาบาลลดความแออัด"
"doc2.md","23","list","- การลงทะเบียนเปลี่ยนหน่วยบริการประจำครั้งแรกในกรณีที่หน่วยบริการประจำที่สำนักงานหลักประกันสุขภาพแห่งชาติลงทะเบียนแทนตามมติคณะอนุกรรมการหลักประกันสุขภาพแห่งชาติไม่ตรงตามที่พักอาศัยอยู่จริง"
"doc2.md","23","paragraph","เอกสารลงทะเบียน"
"doc2.md","23","paragraph","เอกสารสำหรับแสดงการลงทะเบียน"
"doc2.md","23","list","1) บัตรประจำตัวประชาชน (ตัวจริง) หรือบัตรหรือเอกสารอื่นใดที่ทางราชการออกให้ ซึ่งมีเลขประจำตัวประชาชน หรือ แสดงสูติบัตร (ใบเกิด) (กรณีเด็กอายุต่ำกว่า 15 ปี ที่ไม่มีบัตรประจำตัวประชาชน) พร้อมแสดงบัตรประจำตัวประชาชนของผู้ปกครอง"
"doc2.md","23","list","2) กรณีไม่มีบัตรประจำตัวประชาชน แสดงใบทะเบียนบ้าน ทร.14/1 หรือ แสดงใบทะเบียนประวัติบุคคล ทร.12"
"doc2.md","24","list","3) หนังสือรับรองการพักอาศัย (กรณี ลงทะเบียนไม่ตรงตามที่อยู่หน้าบัตรประจำตัวประชาชน) แสดงหลักฐานอย่างใดอย่างหนึ่ง (1) หนังสือรับรองของเจ้าบ้าน (2) หนังสือรับรองของผู้นำชุมชน (3) หนังสือรับรองผู้ว่าจ้างหรือนายจ้าง (4) เอกสารหรือหลักฐานอื่น เช่น ใบเสร็จค่าสาธารณูปโภค ใบเสร็จรับเงินค่าเช่าที่พัก สัญญาเช่าที่พัก ฯลฯ ที่แสดงว่าตนเองนั้นอาศัยอยู่จริง"
"doc2.md","24","list","4) แบบคำร้องขอลงทะเบียน (ขอได้ ณ จุดรับลงทะเบียน)"
"doc2.md","24","paragraph","กรณีมอบให้ผู้อื่นลงทะเบียนแทน ต้องเพิ่มหนังสือมอบอำนาจ และสำเนาบัตรประจำตัวประชาชนของผู้รับมอบอำนาจด้วย"
"doc2.md","24","paragraph","(***กรณีเด็กอายุต่ำกว่า 15 ปีบริบูรณ์ จะต้องได้รับความยินยอมจากผู้ปกครอง)"
"doc2.md","24","paragraph","สถานที่ลงทะเบียน"
"doc2.md","24","list","- ต่างจังหวัด ติดต่อในวันเวลาราชการ ได้ที่"
"doc2.md","24","list","    - หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ เช่น โรงพยาบาลส่งเสริมสุขภาพตำบล (รพ.สต.) ศูนย์บริการสาธารณสุข คลินิกชุมชน อบอุ่น ศูนย์สุขภาพชุมชนเมือง โรงพยาบาลของรัฐ"
"doc2.md","24","list","    - สำนักงานหลักประกันสุขภาพแห่งชาติ เขต 1-12"
"doc2.md","24","list","- กรุงเทพมหานคร"
"doc2.md","24","list","    - สำนักงานหลักประกันสุขภาพแห่งชาติ เขต 13 กทม. ในวันเวลาราชการ"
"doc2.md","24","list","    - สำนักงานหลักประกันสุขภาพแห่งชาติ ชั้น 2 อาคารบี (ทิศตะวันตก) ศูนย์ราชการเฉลิมพระเกียรติฯ ถนนแจ้งวัฒนะ กรุงเทพมหานคร ในวันเวลาราชการ"
"doc2.md","25","heading","ป่วยเป็น 'โรคค่าใช้จ่ายสูง' ไม่ต้องกังวล"
"doc2.md","25","heading","สรุปเนื้อหา"
"doc2.md","25","list","- 'สิทธิบัตรทอง 30 บาท' ก็รักษาได้"
"doc2.md","25","heading","รายละเอียด"
"doc2.md","25","table","ลำดับ,โรคร้าย,วิธีการ\n1,โรคมะเร็ง,-\n2,ผ่าตัดสมอง,-\n3,โรคปอดระยะสุดท้าย,-\n4,การผ่าตัดรักษาข้อเข่าเสื่อม,-\n5,การปลูกถ่ายตับ,-\n6,โรคหลอดเลือดสมองแตก/ตีบ/ตัน,-\n7,การปลูกถ่ายเซลล์ต้นกำเนิดเม็ดโลหิต (Stem cell),-\n8,ผู้ติดเชื้อเอชไอวี,-\n9,การผ่าตัดเปลี่ยนกระจกตา,-\n10,โรคหายาก,-\n11,โรคหัวใจกล้ามเนื้อหัวใจขาดเลือดชนิดเฉียบพลัน,-\n12,โรคไตยวายเรื้อรังระดับสุดท้าย นำบัณฑิตเท่านั้นไปปลูกถ่ายไต,-\n13,การรักษาเฉพาะโรคที่เกิดจากการดำน้ำ (Decompression sickness),-\n14,การรักษาด้วยออกซิเจนความกดสูง (Hyperbaric Oxygen therapy),-\n15,โรคอื่นๆ,-"
"doc2.md","25","heading","คำเตือน"
"doc2.md","25","list","- ผู้ใช้สิทธิหลักประกันสุขภาพแห่งชาติ (บัตรทอง 30 บาท) อย่ารักษาด้วยวิธีการนี้ระบบจะขอคืนจากกรมควบคุมการรักษา ""โรคที่มีค่าใช้จ่ายสูง-โรคราคาแพง-โรคเรื้อรัง"" เป็นจำนวนมาก ซึ่งอาจทำให้การรักษาของผู้ป่วยยากขึ้นและอาจทำให้การรักษาพยาบาล"
"doc2.md","26","heading","การใช้สิทธิ"
"doc2.md","26","heading","หลักประกันสุขภาพแห่งชาติ"
"doc2.md","26","image_description","![Ambulance and medical facilities](image)"
"doc2.md","27","heading","การใช้สิทธิหลักประกันสุขภาพแห่งชาติ"
"doc2.md","27","heading","กรนีทั่วไป"
"doc2.md","27","paragraph","ผู้ใช้สิทธิหลักประกันสุขภาพแห่งชาติต้องมีการเข้ารับบริการสาธารณสุข ดังนี้"
"doc2.md","27","list","- ติดต่อรับบริการที่หน่วยบริการปฐมภูมิ/หน่วยบริการประจำตามสิทธิของผู้มีสิทธิหลักประกันสุขภาพแห่งชาติ และแสดงบัตรประจำตัวประชาชนหรือบัตรหรือเอกสารอื่นใดที่ทางราชการออกให้ ซึ่งมีเลขประจำตัวประชาชนและรูปถ่าย หรือแสดงสูติบัตร (ใบเกิด) (กรณีเด็กอายุต่ำกว่า 15 ปี ที่ไม่มีบัตรประจำตัวประชาชน) พร้อมแสดงบัตรประจำตัวประชาชนของผู้ปกครอง"
"doc2.md","27","heading","กรณีอุบัติเหตุ หรือ เจ็บป่วยฉุกเฉิน"
"doc2.md","27","paragraph","ถ้าผู้มีสิทธิหลักประกันสุขภาพแห่งชาติเกิดอุบัติเหตุหรือภาวะเจ็บป่วยฉุกเฉินอยู่ไกลจากหน่วยบริการประจำตามสิทธิ สามารถใช้สิทธิ์เข้ารับบริการได้ที่หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติที่อยู่ใกล้ที่สุด ได้ตามความจำเป็น โดยไม่จำกัดจำนวนครั้ง"
"doc2.md","27","paragraph","สำหรับผู้ลงทะเบียนสิทธิคนพิการในระบบหลักประกันสุขภาพแห่งชาติ กรณีที่จำเป็นสามารถรับบริการสาธารณสุขได้ที่หน่วยบริการของรัฐที่ชื่นทะเบียนในระบบหลักประกันสุขภาพแห่งชาติได้ทุกแห่ง"
"doc2.md","28","heading","กรุณาแจ้งป่วยฉุกเฉินวิกฤตถึงแก่ชีวิต"
"doc2.md","28","paragraph","ผู้เจ็บป่วยฉุกเฉินวิกฤตถึงแก่ชีวิต จำเป็นต้องได้รับการรักษาอย่างทันท่วงที เพื่อการรอดชีวิต เมื่อผู้ป่วยมีอาการเจ็บป่วยฉุกเฉินวิกฤตถึงแก่ชีวิต สามารถเข้ารักษาพยาบาลในโรงพยาบาลที่ใกล้ที่สุด โดยใช้บัตรประจำตัวประชาชน เพื่อแสดงตนในการเข้ารับบริการ จะได้รับการรักษาจนอาการพ้นวิกฤต จากนั้นโรงพยาบาลที่ให้การรักษาจะส่งตัวผู้ป่วยกลับไปยังหน่วยบริการประจำหรือหน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ ที่พร้อมให้การรักษาต่อไป"
"doc2.md","28","paragraph","ผู้ป่วยเจ็บป่วยฉุกเฉินวิกฤตถึงแก่ชีวิต หมายถึง ผู้ป่วยหรือผู้ที่ได้รับบาดเจ็บซึ่งมีอาการบ่งชี้ว่า จะเป็นอาการที่คุกคามต่อการทำงานของอวัยวะสำคัญ ได้แก่หัวใจ สมอง การหายใจ ต้องได้รับการรักษาและดูแลติดตามอย่างใกล้ชิด เพราะอาจทำให้เสียชีวิตได้รวดเร็ว ยกตัวอย่างเช่น หัวใจหยุดเต้น / หอบรุนแรง / มีอาการเขียวคล้ำ / หมดสติไม่รู้สึกตัว / สิ่งแปลกปลอมอุดกั้นหลอดลม / มีอาการวิกฤตจากอุบัติเหตุ / มีเลือดออกมากห้ามไม่หยุด / ภาวะขาดน้ำอย่างรุนแรง / แขน ขา อ่อนแรง ปากเบี้ยว พูดลำบาก / ชัก / มีอาการวิกฤตจากไข้สูง เป็นต้น"
"doc2.md","28","heading","เจ็บป่วยฉุกเฉิน ติดต่อได้ที่ โทร."
"doc2.md","28","table","โทร,รายละเอียด\n1669,"
"doc2.md","29","heading","เจ็บป่วยอุ่นใจใช้สิทธิบัตรทอง"
"doc2.md","29","heading","การรักษาและการเยี่ยงดูแล"
"doc2.md","29","list","- มีการเขียนข้อความว่า ""เจ็บป่วยอุ่นใจใช้สิทธิบัตรทอง"" ซึ่งอาจหมายถึงการให้บริการทางการแพทย์หรือการช่วยเหลือในกรณีฉุกเฉินหรือภาวะที่ต้องการความอบอุ่นและความรู้สึกปลอดภัยในการรักษาและการเยี่ยงดูแล"
"doc2.md","29","heading","กราฟิกและภาพประกอบ"
"doc2.md","29","list","- ภาพแสดงโรงพยาบาลและสถานพยาบาล พร้อมเครื่องหมายบวก (+) และห้าม (-) เพื่อเน้นรายละเอียดของอาคารและสภาพแวดล้อมโดยรอบ"
"doc2.md","29","list","- มีผู้หญิงคนหนึ่งกำลังเดินอยู่บนรถบัส โดยมีกระเป๋าส่งของวางอยู่ข้างๆ แสดงถึงการเดินทางไปโรงพยาบาลหรือสถานพยาบาล"
"doc2.md","30","heading","เจ็บป่วยอุ่นใจใช้สิทธิบัตรทอง"
"doc2.md","30","heading","บริการที่คุ้มครอง ครอบคลุม บริการที่จำเป็นต่อสุขภาพและการดำรงชีวิต ดังนี้"
"doc2.md","30","list","1. บริการสร้างเสริมสุขภาพและป้องกันโรค"
"doc2.md","30","list","2. การตรวจวินิจฉัยโรค การบำบัดรักษา และการบริการทางการแพทย์"
"doc2.md","30","list","3. การตรวจ รับฝากครรภ์ การทำคลอด และการบริบาลทารกแรกเกิด"
"doc2.md","30","list","4. ค่ายา เวชภัณฑ์ อวัยวะเทียม และอุปกรณ์ทางการแพทย์"
"doc2.md","30","list","5. ค่าอาหารและค่าห้องสามัญ ระหว่างพักรักษาตัวในหน่วยบริการ"
"doc2.md","30","list","6. ค่ารถพยาบาล หรือค่าพาหนะรับส่งผู้ป่วยและผู้ทุพพลภาพ"
"doc2.md","30","list","7. การฟื้นฟูสมรรถภาพร่างกายและจิตใจ"
"doc2.md","30","list","8. บริการแพทย์แผนไทยและการแพทย์ทางเลือกตามกฎหมายว่าด้วยการประกอบโรคศิลปะ"
"doc2.md","30","list","9. การบำบัดรักษาและฟื้นฟูผู้ติดยาและสารเสพติด ยกเว้นการดำเนินการตามกฎหมายว่าด้วยยาเสพติด ที่มีกำหนดเกี่ยวกับการให้บริการบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด"
"doc2.md","30","list","10. การบริการสาธารณสุขที่เกี่ยวข้องกับอุบัติเหตุการประสบภัยจากรถ ยกเว้นการดำเนินการตามกฎหมายว่าด้วยการคุ้มครองผู้ประสบภัยจากรถ"
"doc2.md","30","list","11. บริการสาธารณสุขอื่นที่จำเป็นต่อสุขภาพและการดำรงชีวิตตามที่ตามคณะกรรมการหลักประกันสุขภาพแห่งชาติกำหนดเพิ่มเติม"
"doc2.md","30","paragraph","* คุ้มครองค่าใช้จ่ายตามการวินิจฉัยทางการแพทย์และประกาศของคณะกรรมการหลักประกันสุขภาพแห่งชาติ"
"doc2.md","31","heading","แม่ท้องสมายใจ ใช้สิทธิบัตรทอง"
"doc2.md","31","heading","คลอดบุตรไม่จำกัดจำนวนครั้ง"
"doc2.md","31","paragraph","ทั้งนี้ คณะกรรมการหลักประกันสุขภาพแห่งชาติกำหนดให้ผู้ใช้สิทธิ์ หลักประกันสุขภาพแห่งชาติจ่ายค่าบริการเมื่อรับบริการรักษาพยาบาลและ ได้รับยากครั้งละ 30 บาทให้แก่หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ ตั้งแต่ระดับโรงพยาบาลชุมชนขึ้นไป (สถานพยาบาลที่มีเตียงนอนตั้งแต่ 10 เตียง ขึ้นไป) โดยยกเว้นบุคคล 21 กลุ่มตามประกาศกระทรวงสาธารณสุข และผู้ที่มี ความประสงค์ไม่จ่ายค่าบริการ 30 บาท สามารถแจ้งความจำนองไม่จ่ายค่าบริการ ได้ที่หน่วยบริการ"
"doc2.md","32","heading","บริการที่ไม่อยู่ในความคุ้มครอง"
"doc2.md","32","list","- ข้อ 1 เพื่อความสว่างามโดยไม่มีข้อบกพร่องซึ่งทางการแพทย์"
"doc2.md","32","list","- ข้อ 2 การตรวจวินิจฉัยและการรักษาที่เกินความจำเป็นจากข้อบกพร่องซึ่งทางการแพทย์"
"doc2.md","32","list","- ข้อ 3 การรักษาที่อยู่ระหว่างการค้นคว้าทดลอง"
"doc2.md","32","list","- ข้อ 4 การปลูกถ่ายอวัยวะ และการบริหารทางการแพทย์อื่น ๆ ที่ยังไม่มีในประกาศ"
"doc2.md","32","heading","คณะกรรมการหลักประกันสุขภาพแห่งชาติ"
"doc2.md","32","heading","สอบถามข้อมูลเพิ่มเติม"
"doc2.md","32","paragraph","ติดต่อสายด่วน สปสช.โทร"
"doc2.md","32","paragraph","**1330**"
"doc2.md","33","heading","สิทธิบัตรทอง"
"doc2.md","33","heading","คุ้มครองโรคร้ายค่าใช้จ่ายสูง"
"doc2.md","33","list","- ภาพประกอบเนื้อหาเรื่องการสนับสนุนหรือการนำเสนอเกี่ยวกับสิทธิบัตรทองและค่าใช้จ่ายที่เกี่ยวข้องกับโรคร้าย"
"doc2.md","33","list","- มีการใช้กราฟิกของอาคารโรงพยาบาลและรถฉุกเฉินเพื่อแสดงถึงบริบททางการแพทย์"
"doc2.md","34","heading","สิทธิบัตรทองคุ้มครองโรคร้ายค่าใช้จ่ายสูง"
"doc2.md","34","paragraph","สิทธิหลักประกันสุขภาพแห่งชาติ (สิทธิบัตรทอง) ช่วยลดภาระค่าใช้จ่ายด้านสุขภาพ และไม่ต้องล้มละลายจากค่ารักษาพยาบาลโรคเรื้อรัง โรคที่มีค่าใช้จ่ายสูง ตัวอย่างเช่น"
"doc2.md","34","heading","บริการดูแลรักษาพยาบาล โรคมะเร็ง*"
"doc2.md","34","list","- การตรวจคัดกรองและวินิจฉัยโรคมะเร็ง ตามที่แพทย์สั่ง"
"doc2.md","34","list","- การรักษาอาการทั่วไปและการรักษาเฉพาะทาง เช่น การผ่าตัด การฉายแสง การให้ยาเคมีบำบัด"
"doc2.md","34","list","- การดูแลแบบประคับประคองที่บ้าน (Palliative care)"
"doc2.md","34","list","- วัคซีนไข้หวัดใหญ่ตามฤดูกาล (เฉพาะผู้ป่วยมะเร็งที่ได้รับการรักษาด้วยเคเมี๋ยบ้าบัด)"
"doc2.md","34","heading","บริการดูแลรักษาพยาบาล กรณีผู้ติดเชื้อเอชไอวีและผู้ป่วยเอดส์*"
"doc2.md","34","list","- ผู้ที่มีพฤติกรรมเสี่ยงและต้องการทราบสถานะการติดเชื้อเอชไอวี สามารถขอรับบริการให้คำปรึกษาและตรวจเลือดหาการติดเชื้อเอชไอวี โดยไม่เสียค่าใช้จ่ายได้ที่หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ"
"doc2.md","34","list","- ผู้ที่ตรวจเลือดพบการติดเชื้อเอชไอวี จะได้รับการประเมินเพื่อเริ่มการรักษาด้วยยาต้านไวรัสและติดตามการรักษา รวมถึงการให้ยารักษาภาวะไขมันในเลือดสูง การตรวจคัดกรอง และตรวจยืนยันหาการติดเชื้อไวรัสตับอักเสบซี และการตรวจคัดกรองวัณโรค ตามข้อบ่งชี้ทางการแพทย์"
"doc2.md","34","list","- ผู้ใช้สิทธิหลักประกันสุขภาพแห่งชาติ ควรรับบริการกับหน่วยบริการประจำตามสิทธิ์ เพื่อความสะดวก แต่หากมีความจำเป็นก็สามารถรับบริการกับหน่วยบริการอื่นในระบบหลักประกันสุขภาพแห่งชาติ ที่ไม่ใช่หน่วยบริการประจำตามสิทธิได้"
"doc2.md","35","heading","บริการทดแทนไตสำหรับผู้ป่วยไตวายเรื้อรังระดับสุดท้าย*"
"doc2.md","35","heading","ขั้นตอนการเข้ารับบริการ"
"doc2.md","35","list","- ผู้ป่วยไตวายเรื้อรังระดับสุดท้ายสามารถใช้สิทธิหลักประกันสุขภาพแห่งชาติที่หน่วยบริการตามสิทธิ หน่วยบริการจะลงทะเบียนให้บริการทดแทนไตที่เหมาะสมสำหรับผู้ป่วยในแต่ละราย โดยเป็นไปตามเกณฑ์มาตรฐานของสมาคมโรคไตแห่งประเทศไทย ได้แก่"
"doc2.md","35","list","1. การล้างไตผ่านทางช่องท้องอย่างต่อเนื่อง"
"doc2.md","35","list","2. การฟอกเลือดด้วยเครื่องไตเทียม"
"doc2.md","35","list","3. การผ่าตัดปลูกถ่ายไต"
"doc2.md","35","paragraph","กรณีการขอรับบริการฟอกเลือดด้วยเครื่องไตเทียมจะต้องได้รับการพิจารณาจากคณะกรรมการฯ ระดับเขต"
"doc2.md","35","paragraph","สำหรับการล้างไตผ่านทางช่องท้องอย่างต่อเนื่อง สปสช. ได้จัดบริการส่งน้ำยาล้างไตให้ผู้ป่วยถึงบ้านโดยไม่มีค่าใช้จ่าย เพื่อให้เข้าถึงบริการทดแทนไตได้ง่ายขึ้น ลดภาระค่าใช้จ่ายในการเดินทาง และได้รับบริการอย่างต่อเนื่องซึ่งจะส่งผลถึงคุณภาพชีวิตที่ดีขึ้นของผู้ป่วย"
"doc2.md","35","heading","บริการกรณีเฉพาะ*"
"doc2.md","35","paragraph","บริการกรณีเฉพาะ เป็นการบริการรักษาพยาบาลที่จำเป็นต้องบริหารจัดการเป็นกรณีเฉพาะ ในหน่วยบริการที่ร่วมโครงการ เพื่อปกป้องการได้รับบริการนอกเครือข่ายกรณีจำเป็น รวมไปถึงกรณีที่ต้องบริหารจัดการแบบเฉพาะโรค เช่น"
"doc2.md","35","list","- การให้สารเมทาโดนระยะยาว เพื่อการบำบัดรักษาผู้ป่วยติดสารเสพติดในกลุ่มฝืน และอนุพันธ์ของฝืน (เช่น เฮโรอีน) ที่สมัครใจ"
"doc2.md","35","list","- การให้ยาละลายลิ่มเลือดเพื่อการรักษาเร่งด่วน สำหรับผู้ป่วยโรคหลอดเลือดสมองตีบหรืออุดตัน และผู้ป่วยโรคกล้ามเนื้อหัวใจขาดเลือดชนิดเฉียบพลัน ชนิดที่มีการยกขึ้นของคลื่นไฟฟ้าหัวใจส่วน ST"
"doc2.md","35","list","- การสวนหัวใจ การผ่าตัดหัวใจ"
"doc2.md","35","list","- การปลูกถ่ายเซลล์ต้นกำเนิดเม็ดโลหิต"
"doc2.md","36","list","• การผ่าตัดรักษาข้อเข่าเสื่อม การผ่าตัดเปลี่ยนกระจกตา การผ่าตัดเปลี่ยนหัวใจ"
"doc2.md","36","list","• การปลูกถ่ายตับในเด็ก (อายุไม่เกิน 18 ปี) ที่เป็นโรคท่อน้ำดีตีบตันแต่กำเนิด"
"doc2.md","36","list","• การรักษาเฉพาะโรคที่เกิดจากการดำน้ำ (Decompression sickness)"
"doc2.md","36","paragraph","สอบถามข้อมูลเพิ่มเติม ติดต่อสายด่วน สปสช. โทร. 1330"
"doc2.md","36","paragraph","*คุ้มครองค่าใช้จ่ายตามการวินิจฉัยทางการแพทย์และประกาศของคณะกรรมการหลักประกันสุขภาพแห่งชาติ"
"doc2.md","37","heading","สิทธิการขอรับ"
